x,y
1539.9,2034.3000000000002
2504.2,2037.5
1917.5,2041.1999999999998
2266.4,2042.8000000000002
2066.0,2042.8000000000002
2795.78,2353.0
3284.6,2044.9
2059.3,2047.1999999999998
3216.8,2047.5
1902.9,2048.8
2051.6,2049.0
1912.0,2049.4
2607.4,2049.4
3276.5,2050.1
2272.0,2051.9
2455.7,2052.1
2773.5,2363.56
1895.4,2053.3
2082.5,2054.8
3261.6,2058.4
2275.4,2061.7
2459.9,2062.1
2227.4,2062.3
3254.9,2064.9
2242.9,2066.0
1580.9,2066.2
3246.6,2068.0
2464.5,2072.0
2637.4,2072.1
2081.7,2072.2
2798.0,2076.3
2804.0,2074.74
2629.6,2074.8
3231.6,2075.0
2220.1,2077.4
2621.3,2078.4
3795.2,2079.6
2790.8,2080.2
2469.4,2080.5
2224.7,2086.2
1712.9,2088.2
2472.7,2088.5
1946.0,2089.4
2709.1,2090.1
2682.0,2104.1
2736.5,2075.0
2763.0,2059.4
2786.0,2038.0
2794.1,2032.9
2165.4,2091.6
1937.8,2093.4
2758.9,2095.4
2477.1,2097.0
1628.0,2100.3
2169.7,2100.7
2819.7,2102.3
3247.0,2103.1
3257.6,2103.5
2727.5,2103.7
1466.3,2104.0
2481.7,2105.5
1686.3,2108.2
2174.2,2110.1
2732.4,2111.9
2485.3,2113.6
1692.5,2115.5
1961.8,2117.2
2178.4,2120.0
2697.2,2124.2
2489.1,2121.3
2587.8,2123.5
2578.8,2127.6
2703.4,2128.5
2833.0,2129.1
1585.1,2133.3
1636.5,2146.1
2130.3,2149.4
3274.9,2152.3
1642.2,2153.0
3430.8,2159.2
1647.7,2160.7
2663.2,2163.4
2560.1,2165.8
2201.7,2165.8
1653.6,2169.1
2193.9,2170.4
2523.8,2176.0
1660.0,2177.2
1593.4,2179.7
2527.4,2184.6
1666.2,2185.7
1818.3,2186.8
1598.9,2187.1
3059.6,2187.6
1671.9,2193.3
2682.3,2194.3
2865.5,2195.0
2896.0,2233.3
2861.5,2198.0
1678.7,2201.3
2586.3,2202.1
2464.2,2218.2
2496.93,2201.09
1892.8,2211.0
2641.1,2215.9
3001.2,2219.5
2633.6,2220.4
2627.6,2225.2
2619.4,2229.5
3007.9,2233.3
2239.2,2240.7
2422.2,2242.3
2658.5,2242.9
2231.0,2245.8
2186.3,2254.7
2929.1,2259.2
2375.1,2268.3
2935.6,2268.5
2244.4,2268.9
2943.0,2279.1
2488.1,2281.0
2565.1,2286.9
2681.8,2288.1
2949.7,2289.5
2338.9,2289.6
2674.2,2292.4
2259.2,2293.2
3128.4,2293.9
3194.0,2380.12
2954.0,2296.5
2294.5,2304.9
2960.0,2305.1
2698.1,2313.1
2704.7,2310.03
2300.4,2313.2
2505.5,2313.4
3119.5,2323.3
2587.9,2330.4
3124.7,2330.5
3029.8,2337.0
3127.8,2337.8
3132.5,2342.7
3033.3,2344.6
3139.5,2348.4
3038.4,2351.2
3141.0,2356.7
2453.05,2045.0
2739.5,2359.8
3105.1,2360.3
3146.1,2363.5
3149.5,2371.6
3451.5,2372.9
3072.6,2376.3
2367.6,2377.8
2000.5,2378.9
3155.2,2379.3
2358.7,2382.4
3078.0,2384.5
2156.2,2387.9
1958.8,2391.4
3174.6,2392.3
3041.2,2393.6
2161.0,2394.7
3166.8,2398.3
3195.4,2400.8
2166.8,2401.9
2552.6,2402.9
3401.5,2404.7
2017.7,2406.6
3448.0,2419.3
2634.6,2420.0
2058.5,2420.2
2139.0,2420.6
2050.1,2425.0
3106.4,2428.4
2042.1,2429.1
2567.0,2431.4
2034.4,2434.5
3206.3,2438.9
1999.2,2443.7
3198.0,2446.1
2648.9,2448.8
2086.8,2457.2
2237.6,2463.7
2148.2,2469.5
2666.7,2475.3
2591.2,2478.4
2209.0,2487.8
2255.5,2493.0
1863.9,2498.3
3321.3,2512.6
2687.9,2525.5
2902.4,2531.9
3048.4,2554.7
2871.7,2560.1
3188.3,2566.5
2891.1,2586.6
2513.3,2595.2
3052.0,2596.4
3371.2,2615.9
3182.0,2617.9
2753.7,2618.0
2745.3,2624.2
3385.4,2641.0
2983.9,2641.8
2764.8,2651.5
1979.1,2666.5
2803.0,2669.7
